12:23:16  |  Platform  |  Info  |  * Initialise: RenderManager  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  28
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Error  |  ResourceTrueTypeFont: TrueType font 'DejaVuSansFont_15' disabled. Define MYGUI_USE_FREETYE if you need TrueType fonts.  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  72
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  243
12:23:16  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  244
12:23:16  |  Core  |  Info  |  Register value : 'Center' = 0  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  245
12:23:16  |  Core  |  Info  |  Register value : 'Left' = 2  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  246
12:23:16  |  Core  |  Info  |  Register value : 'Right' = 4  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  247
12:23:16  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  248
12:23:16  |  Core  |  Info  |  Register value : 'Top' = 8  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  249
12:23:16  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  250
12:23:16  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  251
12:23:16  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  252
12:23:16  |  Core  |  Info  |  Register value : 'Default' = 10  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  253
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:16  |  Core  |  Info  |  Gui successfully initialized  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_Gui.cpp  |  134
12:23:17  |  Core  |  Warning  |  dublicate resource name 'arrow'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'beam'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'size_left'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'size_right'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'size_horz'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'size_vert'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'hand'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'link'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Platform  |  Info  |  device D3D lost  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  260
12:23:17  |  Platform  |  Info  |  device D3D restore  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  270
12:23:17  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueImages.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonImage'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueSkins.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:17  |  Core  |  Warning  |  dublicate resource name 'CheckBoxSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'RadioButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonCloseSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonDownSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonUpSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonLeftSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonRightSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SliderTrackVSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollTrackVSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SliderTrackHSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollTrackHSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonEmptySkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'EditBoxSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuBarSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuItemSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollPanelHSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollPanelVSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ListBoxItemSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SepDownHSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SepUpHSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SepDownVSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SepUpVSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ClientDefaultSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ClientTileSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'PanelSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WhiteSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'CaptionEmptySkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'CaptionSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'CaptionWithButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowFrameSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowResizeLeftDownSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowResizeRightDownSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'TabHeaderButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'TabHeaderEmptySkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'TabPanelSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuItemNormalSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuItemPopupButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuItemCheckButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ProgressBarTrackHSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonSkin'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueTemplates.xml'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  129
12:23:17  |  Core  |  Warning  |  dublicate resource name 'CheckBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'RadioButton'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollBarH'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollBarV'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SliderH'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SliderV'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SliderHEmpty'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'SliderVEmpty'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'Button'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ButtonImage'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'TextBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'EditBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'EditBoxStretch'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'EditBoxEmpty'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WordWrapEmpty'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ComboBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'Window'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowC'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowCS'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowCX'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'WindowCSX'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuBar'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuBarButton'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MenuBarSeparator'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'PopupMenu'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'PopupMenuSeparator'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'PopupMenuNormal'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'PopupMenuPopup'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ProgressBar'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ProgressBarFill'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ListBoxItem'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ListBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ItemBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ItemBoxEmpty'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollView'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'ScrollViewEmpty'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'TabHeaderButton'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'TabControl'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MultiListBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MultiListButton'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Core  |  Warning  |  dublicate resource name 'MultiSubListBox'  |  d:\MyProjects\multiPlayer\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  107
12:23:17  |  Platform  |  Info  |  device D3D lost  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  260
12:23:17  |  Platform  |  Info  |  device D3D restore  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  270
12:23:21  |  Platform  |  Info  |  device D3D lost  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  260
12:23:21  |  Platform  |  Info  |  device D3D restore  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  270
12:23:21  |  Platform  |  Info  |  device D3D lost  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  260
